#	LABEL	TYPE	URL	EXTERNAL ID	ROLES	PROCESS PARTICIPATION			EXTERNAL CLASSIFIER	LOCATION	CONSORTIUM MEMBER	HAS CONTRIBUTOR	CONTRIBUTOR OF	CONTACT POINT	MEMBER / PART OF	DOMAIN, FIELD OF RESEARCH	PURPOSE	OBJECT TYPE	MEDIA TYPE	LICENSE	TECHNOLOGIES	STANDARD	RELATED PROJECT
ID	LABEL	TYPE	I nfdicore:has url	I nfdicore:has external identifier SPLIT=,	I ro:has role SPLIT=,	I bfo:participates in SPLIT=,	I bfo:realizes SPLIT=,	I ro:has output SPLIT=,	I nfdicore:has external classifier	I nfdicore:has location	I ro:has member	I nfdicore:has contributor SPLIT=,	I nfdicore:contributor of SPLIT=,	I nfdicore:has contact point SPLIT=,	I bfo:part of SPLIT=,	I nfdicore:has subject area SPLIT=,	I iao:has specification SPLIT=,	I 'provides content type'	I nfdicore:has media type	I nfdicore:has license	I nfdicore:has technology SPLIT=,	I nfdicore:has standard	I nfdicore:resource of project
																							
M100000	NFDI4Memory	nfdicore:organization																					
																							
M100100	GND Explorer	nfdicore:service	https://explore.gnd.network/									M100101				M100300, M100305,		M100380, M100381	M100394, M100395	M100438	M102001, M102003, M102011, M102007, M102023	M100356	
M100101	Deutsche Nationalbibliothek	nfdicore:consortium partner		01n7gem85, 					M100315	M100104, M100105, M100106, M100107, M100108			M100100										
M100102	Hubrich, Jessica	nfdicore:person		1106271661,	M200100,																		
M100103	Organizer role for the GND explorer	nfdicore:organizer role																					
M100104	Frankfurt	nfdicore:city																					
M100105	Leipzig	nfdicore:city																					
M100106	Deutschland	nfdicore:country																					
M100107	Hessen	nfdicore:federal state																					
M100108	Sachsen	nfdicore:federal state																					
M100109	GND Reconciliation Service	nfdicore:service	https://reconcile.gnd.network											M100110, M100111, M100112					M100393	M100438	M100328		
M100110	Adrian Pohl	nfdicore:person		orcid0000-0001-9083-7442											M100112								
M100111	Fabian Steeg	nfdicore:person		orcid0000-0001-8829-1989											M100112								
M100112	hbz – Hochschulbibliothekszentrum des Landes Nordrhein-Westfalen	nfdicore:consortium partner		 00n3mcd10																			
M100113	Köln	nfdicore:city																					
M100114	Nordrhein-Westfalen	nfdicore:federal state																					
